(761, 757, 785, 788)
(793, 761, 807, 788)
(847, 759, 890, 789)
(899, 756, 924, 787)
(931, 737, 949, 787)
(988, 744, 1025, 802)
(1033, 758, 1055, 811)
(1061, 739, 1092, 788)
(1098, 759, 1141, 790)
(1150, 756, 1173, 789)
(1183, 757, 1208, 787)
(1217, 757, 1230, 786)
(1237, 760, 1252, 787)
(1279, 756, 1305, 788)
(1312, 745, 1321, 785)
(1326, 765, 1346, 773)
(108, 831, 135, 866)
(140, 848, 145, 863)
(146, 833, 162, 863)
(172, 819, 180, 863)
(190, 831, 215, 864)
(221, 830, 256, 863)
(264, 835, 277, 861)
(286, 833, 307, 861)
(317, 810, 334, 860)
(393, 817, 439, 859)
(445, 829, 467, 883)
(477, 828, 501, 857)
(511, 829, 520, 858)
(523, 829, 538, 858)
(549, 830, 580, 878)
(584, 811, 614, 859)
(617, 830, 653, 879)
(661, 832, 675, 858)
(685, 831, 724, 879)
(732, 808, 750, 859)
(774, 846, 787, 871)
(846, 831, 885, 860)
(897, 814, 907, 858)
(964, 830, 1003, 875)
(1010, 827, 1033, 857)
(1043, 830, 1050, 859)
(1052, 830, 1066, 860)
(1075, 830, 1102, 860)
(1163, 830, 1190, 860)
(1196, 809, 1226, 859)
(1231, 829, 1272, 859)
(1282, 828, 1304, 859)
(1313, 829, 1340, 859)
(107, 904, 133, 935)
(142, 903, 165, 935)
(176, 905, 207, 936)
(252, 903, 279, 934)
(289, 903, 311, 932)
(322, 888, 356, 933)
(400, 901, 409, 929)
(419, 901, 427, 929)
(438, 898, 461, 929)
(468, 901, 490, 952)
(500, 897, 525, 928)
(533, 903, 553, 930)
(564, 886, 572, 895)
(565, 905, 572, 930)
(579, 901, 602, 954)
(611, 903, 625, 929)
(667, 900, 681, 930)
(687, 901, 714, 930)
(759, 890, 795, 946)
(803, 890, 811, 929)
(820, 905, 834, 932)
(878, 901, 907, 931)
(918, 900, 941, 930)
(948, 900, 975, 931)
(984, 899, 991, 927)
(993, 901, 1008, 929)
(1015, 883, 1045, 932)
(1052, 901, 1084, 931)
(1090, 902, 1119, 933)
(1172, 900, 1197, 930)
(1206, 899, 1232, 930)
(1275, 901, 1297, 930)
(1306, 885, 1342, 930)
(109, 978, 132, 1007)
(133, 977, 149, 1007)
(160, 975, 184, 1005)
(193, 957, 211, 972)
(197, 978, 205, 1005)
(253, 976, 294, 1005)
(302, 956, 331, 1004)
(336, 995, 341, 1001)
(341, 972, 357, 1002)
(366, 974, 398, 1004)
(404, 972, 432, 1002)
(476, 971, 504, 999)
(515, 972, 539, 1001)
(548, 972, 570, 1026)
(580, 972, 612, 1001)
(619, 975, 633, 1001)
(679, 972, 705, 1001)
(746, 974, 773, 1003)
(781, 955, 810, 1003)
(818, 971, 843, 1003)
(851, 971, 872, 1002)
(882, 957, 891, 1001)
(901, 973, 924, 1002)
(932, 952, 961, 1002)
(967, 982, 973, 1001)
(974, 970, 988, 999)
(994, 953, 1024, 1002)
(1030, 952, 1047, 968)
(1034, 973, 1042, 1001)
(1067, 988, 1080, 1012)
(1123, 973, 1165, 1003)
(1174, 971, 1201, 1001)
(1242, 972, 1265, 1001)
(1275, 968, 1298, 1000)
(1309, 971, 1340, 1001)
(111, 1050, 125, 1077)
(135, 1045, 159, 1078)
(169, 1049, 194, 1079)
(203, 1046, 225, 1078)
(236, 1050, 269, 1079)
(274, 1036, 282, 1074)
(348, 1046, 375, 1075)
(384, 1046, 408, 1099)
(417, 1029, 451, 1075)
(510, 1045, 549, 1089)
(556, 1043, 592, 1088)
(602, 1043, 626, 1074)
(636, 1044, 667, 1075)
(677, 1042, 700, 1073)
(708, 1045, 729, 1098)
(737, 1044, 763, 1074)
(771, 1040, 806, 1075)
(864, 1044, 891, 1073)
(892, 1029, 908, 1069)
(969, 1042, 984, 1072)
(992, 1042, 1016, 1073)
(1023, 1024, 1051, 1073)
(1051, 1034, 1052, 1035)
(1060, 1045, 1093, 1073)
(1061, 1045, 1069, 1052)
(1104, 1029, 1114, 1073)
(1174, 1044, 1213, 1074)
(1225, 1027, 1234, 1072)
(1282, 1042, 1289, 1072)
(1292, 1042, 1307, 1072)
(1313, 1023, 1343, 1072)
(109, 1118, 136, 1149)
(144, 1139, 148, 1148)
(151, 1120, 166, 1149)
(177, 1121, 209, 1151)
(217, 1123, 229, 1150)
(239, 1134, 244, 1149)
(245, 1119, 262, 1150)
(271, 1124, 284, 1151)
(292, 1132, 300, 1144)
(714, 1394, 757, 1438)
(771, 1406, 792, 1461)
(812, 1403, 838, 1434)
(858, 1407, 894, 1451)
(908, 1386, 938, 1437)
(955, 1405, 963, 1436)
(965, 1405, 981, 1437)
(999, 1403, 1027, 1436)
(1046, 1405, 1080, 1436)
(1098, 1403, 1121, 1436)
(1139, 1406, 1161, 1461)
(1180, 1383, 1211, 1437)
(1225, 1404, 1249, 1434)
(1258, 1417, 1267, 1432)
